educat_gr,act_st,mb01m_gr,hh_ident,anr,mb02,mc02a,me12a,father,me03,mb05,mb04,ved_st,mother,mb01a_gr,partner,mb01f_gr,me0908_1z,mb011a_gr,study_gr,objectid,age
2,3,LT,13014,1,2,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1241,66
2,3,LT,13014,2,1,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1242,81
2,6,LT,13016,1,1,2,8,,8,1,1,3,,LT,,LT,88,LT,8,1243,47
3,3,LT,13025,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1244,71
2,3,LT,13026,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1245,72
3,1,LT,13029,1,1,2,3,,1,2,2,1,,LT,3,LT,2,LT,8,1246,49
3,3,LT,13029,2,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1247,74
3,1,LT,13029,3,2,2,3,,1,1,2,1,2,LT,1,LT,2,LT,8,1248,47
1,5,LT,13029,4,1,1,8,1,8,3,1,3,3,LT,,LT,88,LT,1,1249,15
8,8,88,13029,5,1,8,8,1,8,3,1,8,3,88,,88,88,88,8,1250,13
3,1,LT,13030,2,1,2,3,,1,1,2,1,,LT,3,LT,,LT,8,1251,61
2,4,LT,13030,3,2,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1252,57
1,3,LT,13032,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1253,84
1,3,00,13032,2,1,2,8,,8,2,2,1,,LT,1,00,88,LT,8,1254,93
2,1,LT,13034,1,2,2,3,,1,1,4,2,,LT,2,LT,7,LT,8,1255,60
2,3,LT,13034,2,1,2,8,,8,2,4,2,,LT,1,LT,88,LT,8,1256,63
2,1,LT,13034,4,1,2,2,2,8,3,1,3,1,LT,,LT,7,LT,8,1257,37
2,3,LT,13036,2,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1258,71
1,1,LT,13037,2,1,2,2,,8,1,2,1,,LT,3,LT,6,LT,8,1259,44
2,1,LT,13037,3,2,2,4,,8,2,2,1,,LT,2,LT,6,LT,8,1260,45
3,3,LT,13043,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1261,80
3,3,LT,13043,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1262,82
2,1,LT,13048,2,1,2,2,,8,1,2,1,,LT,4,LT,7,LT,8,1263,47
2,1,LT,13048,4,2,2,3,,1,2,2,1,,LT,2,LT,,LT,8,1264,46
8,8,88,13048,5,2,8,8,2,8,3,1,8,4,88,,88,88,88,8,1265,9
3,1,LT,13049,1,2,2,3,,1,2,2,1,3,LT,2,LT,5,LT,8,1266,53
2,1,LT,13049,2,1,2,2,,8,1,2,1,,LT,1,LT,1,LT,8,1267,59
1,3,LT,13049,3,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1268,95
3,3,LT,13054,3,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1269,75
1,3,LT,13056,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1270,70
3,3,LT,13065,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1271,64
2,3,LT,13065,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1272,66
2,1,LT,13069,1,1,2,3,,1,1,2,1,,LT,2,LT,3,LT,8,1273,49
2,1,LT,13069,2,2,2,3,,1,2,2,1,,LT,1,LT,4,LT,8,1274,47
2,1,LT,13077,1,1,2,3,,1,1,2,1,,LT,2,LT,7,LT,8,1275,40
3,1,LT,13077,2,2,2,3,,1,2,2,1,,LT,1,LT,2,LT,8,1276,39
8,8,88,13077,3,1,8,8,1,8,3,1,8,2,88,,88,88,88,8,1277,14
8,8,88,13077,4,1,8,8,1,8,3,1,8,2,88,,88,88,88,8,1278,8
8,8,88,13077,5,2,8,8,1,8,3,1,8,2,88,,88,88,88,8,1279,7
2,1,LT,13091,1,2,1,3,,1,1,2,1,,LT,2,LT,3,LT,3,1280,41
2,1,LT,13091,2,1,2,2,,8,2,2,1,,LT,1,LT,7,LT,8,1281,41
8,8,88,13091,3,1,8,8,2,8,3,1,8,1,88,,88,88,88,8,1282,14
8,8,88,13091,4,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,1283,7
1,3,LT,13099,2,1,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1284,81
2,1,LT,13099,3,2,2,3,2,1,2,1,2,,LT,4,LT,2,LT,8,1285,43
2,1,LT,13099,4,1,2,2,,8,1,1,2,,LT,3,LT,7,LT,8,1286,52
8,8,88,13099,5,1,8,8,4,8,3,1,8,3,88,,88,88,88,8,1287,11
3,1,LT,13107,1,2,2,3,,1,1,2,1,,LT,2,LT,3,LT,8,1288,67
2,3,LT,13107,2,1,2,8,,8,2,2,1,,00,1,LT,88,LT,8,1289,66
2,4,LT,13112,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1290,53
2,1,LT,13112,2,1,2,3,,1,2,2,1,,LT,1,LT,2,LT,8,1291,50
1,5,LT,13112,7,1,1,8,2,8,3,1,3,1,LT,,LT,88,LT,2,1292,17
2,4,LT,13113,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1293,60
2,3,LT,13113,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1294,67
2,1,LT,13118,1,2,2,3,,1,1,1,3,2,LT,,LT,3,LT,8,1295,43
1,3,LT,13118,2,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1296,80
2,3,LT,13124,1,1,2,8,,8,1,4,2,,LT,2,LT,88,LT,8,1297,72
2,3,LT,13124,2,2,2,8,,8,2,3,2,,LT,1,LT,88,LT,8,1298,79
1,3,LT,13128,1,1,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1299,80
1,3,LT,13128,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1300,75
3,1,LT,13130,1,1,2,3,,1,1,4,2,,LT,2,LT,8,LT,8,1301,54
2,1,LT,13130,2,2,2,3,,1,2,4,2,,LT,1,LT,,LT,8,1302,44
1,5,LT,13130,3,1,1,8,1,8,3,1,3,2,LT,,LT,88,LT,2,1303,20
8,8,88,13130,4,2,8,8,1,8,3,1,8,2,88,,88,88,88,8,1304,10
2,1,LT,13135,1,2,2,3,,1,2,2,1,,LT,2,LT,6,LT,8,1305,51
2,4,LT,13135,2,1,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1306,52
1,5,LT,13135,4,1,1,8,2,8,3,1,3,1,LT,,LT,88,LT,1,1307,16
8,8,88,13135,5,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,1308,14
8,8,88,13135,6,1,8,8,2,8,3,1,8,1,88,,88,88,88,8,1309,11
8,8,88,13135,7,1,8,8,2,8,3,1,8,1,88,,88,88,88,8,1310,8
2,3,LT,13136,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1311,68
2,3,LT,13136,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1312,75
2,3,00,13138,1,2,2,8,,8,1,4,3,,00,,00,88,LT,8,1313,74
3,3,LT,13141,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1314,63
1,3,LT,13143,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1315,72
3,3,LT,13143,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1316,68
3,1,LT,13147,1,1,2,3,,1,2,2,1,,LT,2,LT,8,LT,8,1317,59
3,1,LT,13147,2,2,2,3,,1,1,2,1,,LT,1,LT,,LT,8,1318,58
2,6,LT,13147,3,1,2,8,1,8,3,1,3,2,LT,,LT,88,LT,8,1319,28
1,3,LT,13150,1,2,2,8,,8,6,3,3,,LT,,LT,88,LT,8,1320,63
2,3,LT,13150,2,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1321,69
1,3,LT,13153,2,1,2,8,,8,2,2,1,,LT,3,LT,88,LT,8,1322,73
1,3,LT,13153,3,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1323,75
3,1,LT,13156,1,2,2,3,,1,1,2,1,,LT,2,LT,1,LT,8,1324,60
2,3,LT,13156,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1325,71
2,1,LT,13157,2,1,2,2,,8,1,1,3,,LT,,LT,6,LT,8,1326,53
1,1,LT,13158,1,1,2,3,,1,1,2,1,,LT,2,LT,7,LT,8,1327,45
1,2,LT,13158,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1328,44
1,1,LT,13158,3,1,2,3,1,1,3,1,3,2,LT,,LT,7,LT,8,1329,19
1,5,LT,13158,4,2,1,8,1,8,3,1,3,2,LT,,LT,88,LT,1,1330,16
1,5,LT,13158,5,1,1,8,1,8,3,1,3,2,LT,,LT,88,LT,1,1331,15
2,2,LT,13160,1,1,2,8,,8,5,1,3,,LT,,LT,88,LT,8,1332,57
2,1,LT,13160,2,1,2,3,,1,1,3,3,,LT,,LT,7,LT,8,1333,51
2,1,LT,13161,1,2,2,3,,1,2,1,2,,LT,2,LT,5,LT,8,1334,39
2,1,LT,13161,2,1,2,3,,1,1,1,2,,LT,1,LT,7,LT,8,1335,38
1,5,LT,13161,3,1,1,8,2,8,3,1,3,1,LT,,LT,88,LT,1,1336,15
8,8,88,13161,4,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,1337,8
1,3,LT,13162,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1338,76
1,3,LT,13166,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1339,75
2,3,LT,13166,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1340,67
2,3,LT,13168,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1341,78
1,3,LT,13169,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1342,72
2,2,LT,13170,1,2,2,8,,8,6,1,3,,LT,,LT,88,LT,8,1343,55
2,3,LT,13170,2,2,2,8,,8,1,1,3,,LT,,LT,88,LT,8,1344,70
2,3,LT,13170,3,2,2,8,,8,6,4,3,,LT,,LT,88,LT,8,1345,69
2,1,LT,13171,2,1,2,3,,1,1,2,1,,LT,3,LT,,LT,8,1346,56
2,1,LT,13171,3,2,2,3,,2,2,2,1,,LT,2,LT,,LT,8,1347,54
2,1,LT,13172,1,1,2,3,,1,1,1,3,,LT,,LT,8,LT,8,1348,37
1,2,LT,13172,2,1,2,8,,8,5,1,3,,LT,,LT,88,LT,8,1349,47
1,3,LT,13174,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1350,72
1,3,LT,13174,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1351,80
2,3,LT,13176,1,1,2,8,,8,2,2,1,,00,2,LT,88,LT,8,1352,64
2,1,LT,13176,2,2,2,3,,1,1,2,1,,LT,1,LT,,LT,8,1353,64
3,1,LT,13177,1,2,2,3,,1,2,2,1,,LT,2,LT,2,LT,8,1354,54
3,1,LT,13177,2,1,2,3,,1,1,2,1,,LT,1,LT,7,LT,8,1355,54
2,1,LT,13179,1,1,2,2,2,8,1,2,1,3,LT,4,LT,6,LT,8,1356,53
1,3,LT,13179,2,1,2,8,,8,4,2,1,,LT,3,LT,88,LT,8,1357,82
2,3,LT,13179,3,2,2,8,,8,4,2,1,,LT,2,LT,88,LT,8,1358,79
2,1,LT,13179,4,2,2,4,,8,2,2,1,,LT,1,LT,,LT,8,1359,34
8,8,88,13179,5,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1360,13
8,8,88,13179,6,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1361,11
8,8,88,13179,7,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1362,6
8,8,88,13179,8,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1363,3
2,1,LT,13181,1,1,2,2,,8,1,2,1,,LT,2,LT,6,LT,8,1364,61
2,1,LT,13181,2,2,2,4,,8,2,2,1,,LT,1,LT,6,LT,8,1365,62
1,3,LT,13183,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1366,85
2,1,LT,13183,2,1,2,3,,2,5,1,3,,LT,,LT,,LT,8,1367,26
2,3,LT,13184,1,1,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1368,66
2,1,LT,13184,2,2,2,3,,2,2,2,1,,LT,1,LT,,LT,8,1369,62
2,1,LT,13186,1,1,2,2,,8,1,1,3,,LT,,LT,,LT,8,1370,39
3,1,LT,13190,1,1,2,1,,8,1,2,1,,LT,2,LT,2,LT,8,1371,62
3,1,LT,13190,2,2,2,3,,1,2,2,1,,LT,1,LT,4,LT,8,1372,56
1,5,LT,13190,3,2,1,8,1,8,3,1,3,2,LT,,LT,88,LT,1,1373,16
2,3,LT,13191,1,1,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1374,70
2,3,LT,13191,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1375,71
2,4,LT,13192,2,1,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1376,56
2,5,LT,13192,3,1,1,8,2,8,3,1,3,,LT,,LT,88,LT,2,1377,19
2,3,LT,13193,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1378,76
1,3,LT,13195,1,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1379,85
2,6,LT,13195,2,2,2,8,,8,1,4,3,1,LT,,LT,88,LT,8,1380,47
2,3,LT,13196,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1381,70
1,3,LT,13196,2,1,2,8,,8,5,1,3,,LT,,LT,88,LT,8,1382,65
1,2,LT,13197,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1383,60
1,3,LT,13197,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1384,75
2,2,LT,13201,1,2,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1385,53
2,2,LT,13201,2,1,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1386,57
2,1,LT,13204,1,1,2,3,,1,1,4,2,,LT,2,LT,,LT,8,1387,55
2,2,LT,13204,2,2,2,8,,8,2,4,2,,LT,1,LT,88,LT,8,1388,52
2,3,LT,13208,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1389,77
1,3,LT,13210,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1390,81
3,1,LT,13211,1,2,2,3,,1,1,2,1,,LT,2,LT,2,LT,8,1391,61
2,3,LT,13211,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1392,65
2,4,LT,13211,3,1,2,8,2,8,3,1,3,1,LT,,LT,88,LT,8,1393,39
2,1,LT,13212,1,1,2,3,,1,1,4,3,2,LT,,LT,8,LT,8,1394,28
2,1,LT,13212,2,2,2,3,,1,4,4,2,,LT,4,LT,,LT,8,1395,58
1,2,LT,13212,4,1,2,8,,8,6,4,2,,LT,2,LT,88,LT,8,1396,63
3,1,00,13213,2,2,2,3,,1,1,3,3,,LT,,LT,4,LT,8,1397,60
2,1,LT,13214,2,1,2,3,,1,2,2,1,,LT,3,LT,7,LT,8,1398,56
3,1,LT,13214,3,2,2,3,,1,1,2,1,,LT,2,LT,2,LT,8,1399,56
2,1,LT,13215,2,1,2,3,,1,2,2,1,,LT,3,LT,7,LT,8,1400,58
3,1,LT,13215,3,2,2,3,,1,1,2,1,,LT,2,LT,1,LT,8,1401,59
3,1,LT,13216,1,2,2,3,,1,2,2,1,,LT,2,LT,7,LT,8,1402,45
2,1,LT,13216,2,1,2,3,,2,1,2,1,,LT,1,LT,8,LT,8,1403,49
1,5,LT,13216,3,1,1,8,2,8,3,1,3,1,LT,,LT,88,LT,2,1404,17
2,3,LT,13217,2,1,2,8,,8,1,2,1,,LT,3,LT,88,LT,8,1405,73
2,3,LT,13217,3,2,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1406,83
3,3,LT,13219,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1407,75
2,1,LT,13221,1,1,2,3,,1,3,1,3,3,LT,,LT,5,LT,8,1408,25
1,1,LT,13221,3,2,2,3,,1,1,2,3,,LT,,LT,5,LT,8,1409,45
2,3,LT,13222,1,1,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1410,69
2,3,LT,13222,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1411,68
2,1,LT,13225,1,2,2,3,,1,1,2,3,,LT,,LT,5,LT,8,1412,47
2,1,LT,13226,1,1,2,1,2,8,1,2,1,,LT,3,LT,1,LT,8,1413,48
1,3,LT,13226,2,1,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1414,84
3,1,LT,13226,3,2,2,3,,1,2,2,1,,LT,1,LT,5,LT,8,1415,47
2,3,LT,13228,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1416,82
3,1,LT,13229,1,2,2,3,,1,1,4,3,,LT,,LT,5,LT,8,1417,39
8,8,88,13229,2,1,8,8,,8,3,1,8,1,88,,88,88,88,8,1418,12
8,8,88,13229,3,1,8,8,,8,3,1,8,1,88,,88,88,88,8,1419,3
3,1,LT,13230,2,1,2,3,,1,1,2,1,,LT,3,LT,2,LT,8,1420,53
3,1,LT,13230,3,2,2,3,,1,2,2,1,,LT,2,LT,2,LT,8,1421,53
3,1,LT,13232,3,2,2,3,,1,1,4,3,,LT,,LT,4,LT,8,1422,42
1,5,LT,13232,6,1,1,8,,8,3,1,3,3,LT,,LT,88,LT,1,1423,15
2,4,LT,13233,1,2,2,8,,8,1,1,3,,LT,,LT,88,LT,8,1424,53
3,1,LT,13235,2,1,2,3,,1,1,2,1,,LT,3,LT,7,LT,8,1425,50
3,1,LT,13235,3,2,2,3,,1,2,2,1,,LT,2,LT,5,LT,8,1426,44
8,8,88,13235,4,1,8,8,2,8,3,1,8,3,88,,88,88,88,8,1427,11
3,1,LT,13237,1,1,2,2,,8,1,4,3,,LT,,LT,8,LT,8,1428,57
1,3,LT,13238,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1429,75
2,3,LT,13238,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1430,72
2,1,LT,13239,1,1,2,3,,1,2,2,1,,LT,2,LT,6,LT,8,1431,43
2,2,LT,13239,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1432,42
8,8,88,13239,3,2,8,8,1,8,3,1,8,2,88,,88,88,88,8,1433,6
3,1,LT,13243,1,2,2,3,,1,2,2,1,,LT,2,LT,,LT,8,1434,50
2,1,LT,13243,2,1,2,3,,1,1,2,1,,LT,1,LT,,LT,8,1435,52
3,1,LT,13244,1,2,2,3,,1,1,4,3,,LT,,LT,4,LT,8,1436,65
1,3,LT,13245,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1437,85
2,3,LT,13246,2,1,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1438,71
2,1,LT,13247,1,1,2,3,,1,1,4,3,2,LT,,LT,5,LT,8,1439,54
2,3,LT,13247,2,2,2,8,,8,4,3,3,,LT,,00,88,LT,8,1440,78
2,1,LT,13249,1,1,2,2,2,8,3,1,3,3,LT,,LT,6,LT,8,1441,31
2,3,LT,13249,2,1,2,8,,8,1,2,1,,LT,3,LT,88,LT,8,1442,66
3,3,LT,13249,3,2,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1443,63
2,1,LT,13250,1,1,2,3,,1,1,2,1,,LT,2,LT,,LT,8,1444,56
2,1,LT,13250,2,2,2,3,,1,2,2,1,,LT,1,LT,,LT,8,1445,52
2,1,LT,13252,1,2,2,3,,1,1,4,2,,LT,2,LT,,LT,8,1446,55
2,1,LT,13252,2,1,2,3,,1,2,4,2,,LT,1,LT,,LT,8,1447,52
3,3,LT,13255,2,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1448,67
3,1,LT,13257,1,2,2,2,,8,1,1,3,,LT,,LT,4,LT,8,1449,49
1,2,LT,13258,2,2,2,8,,8,1,1,3,,LT,,LT,88,LT,8,1450,42
1,2,LT,13258,3,1,2,8,,8,5,1,3,,LT,,LT,88,LT,8,1451,40
2,5,LT,13258,4,2,1,8,,8,5,1,3,,LT,,LT,88,LT,2,1452,20
8,8,88,13258,5,1,8,8,,8,5,1,8,4,88,,88,88,88,8,1453,3
2,1,LT,13259,1,2,2,3,,1,1,1,3,,LT,,LT,7,LT,8,1454,37
1,5,LT,13259,2,1,1,8,,8,3,1,3,1,LT,,LT,88,LT,1,1455,16
2,1,LT,13261,1,2,2,3,,1,2,2,1,,LT,2,LT,,LT,8,1456,56
2,1,LT,13261,2,1,2,3,,1,1,2,1,,LT,1,LT,8,LT,8,1457,55
3,2,LT,13262,1,2,2,8,,8,1,2,3,,00,,LT,88,LT,8,1458,60
3,3,LT,13263,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1459,76
1,3,LT,13266,1,1,2,8,,8,4,2,1,,LT,4,LT,88,LT,8,1460,78
2,1,LT,13266,2,1,2,3,1,1,1,1,3,4,LT,,LT,,LT,8,1461,53
1,1,LT,13266,3,1,2,3,1,1,5,1,3,4,LT,,LT,,LT,8,1462,47
1,3,LT,13266,4,2,2,8,,8,4,2,1,,LT,1,LT,88,LT,8,1463,73
2,1,LT,13267,1,1,2,3,,1,2,2,1,,LT,3,LT,8,LT,8,1464,63
3,1,LT,13267,3,2,2,2,,8,1,2,1,,LT,1,LT,2,LT,8,1465,64
2,1,LT,13270,1,1,2,3,,1,1,4,2,,LT,3,LT,7,LT,8,1466,48
2,1,LT,13270,3,2,2,3,,1,2,4,2,,LT,1,LT,7,LT,8,1467,46
3,4,LT,13271,2,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1468,59
1,5,LT,13271,3,2,1,8,,8,5,1,3,,LT,,LT,88,LT,2,1469,17
2,2,LT,13272,1,1,2,8,,8,3,1,3,2,LT,,LT,88,LT,8,1470,25
2,1,LT,13272,2,2,2,3,,1,1,1,3,,LT,,LT,5,LT,8,1471,49
8,8,88,13272,3,1,8,8,,8,3,1,8,2,88,,88,88,88,8,1472,11
2,1,LT,13274,1,1,2,3,,1,1,2,1,,LT,2,LT,3,LT,8,1473,65
2,2,LT,13274,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1474,47
1,5,LT,13276,1,2,1,8,2,8,3,1,3,4,LT,,LT,88,LT,2,1475,18
3,1,LT,13276,2,1,2,3,,1,1,2,1,3,LT,4,LT,2,LT,8,1476,52
1,3,LT,13276,3,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1477,90
3,1,LT,13276,4,2,1,3,,1,2,2,1,,LT,2,LT,2,LT,3,1478,46
1,5,LT,13276,5,2,1,8,2,8,3,1,3,4,LT,,LT,88,LT,1,1479,16
1,3,LT,13278,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1480,74
2,3,LT,13280,1,2,2,8,,8,1,2,1,,LT,3,LT,88,LT,8,1481,63
3,3,LT,13280,3,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1482,71
3,3,LT,13282,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1483,77
3,3,LT,13282,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1484,75
2,1,LT,13287,1,1,2,3,,1,2,2,1,,LT,4,LT,,LT,8,1485,29
2,6,LT,13287,4,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1486,27
8,8,88,13287,5,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1487,6
8,8,88,13287,6,2,8,8,1,8,3,1,8,4,88,,88,88,88,8,1488,3
1,3,LT,13288,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1489,75
2,1,00,13290,2,1,2,2,,8,1,2,1,,00,3,00,6,LT,8,1490,62
2,1,LT,13290,3,2,2,2,,8,2,2,1,,LT,2,LT,6,LT,8,1491,60
2,3,LT,13291,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1492,64
2,1,LT,13292,1,1,2,2,,8,1,2,1,,LT,4,LT,6,LT,8,1493,54
3,1,LT,13292,4,2,2,3,,1,2,2,1,,LT,1,LT,2,LT,8,1494,51
1,5,LT,13292,6,2,1,8,1,8,3,1,3,4,LT,,LT,88,LT,1,1495,16
8,8,88,13292,7,1,8,8,1,8,3,1,8,4,88,,88,88,88,8,1496,14
2,2,LT,13293,1,1,2,8,,8,5,2,1,,LT,2,LT,88,LT,8,1497,55
2,1,LT,13293,2,2,2,2,,8,3,2,1,3,LT,1,LT,6,LT,8,1498,49
1,3,LT,13293,3,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1499,72
1,4,LT,13293,4,1,2,8,1,8,5,1,3,2,LT,,LT,88,LT,8,1500,30
2,3,LT,13294,1,1,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1501,67
3,1,LT,13295,1,2,2,2,,8,5,2,1,,LT,5,LT,6,LT,8,1502,32
2,3,LT,13295,2,1,2,8,,8,4,2,1,,LT,3,LT,88,LT,8,1503,73
2,3,LT,13295,3,2,2,8,,8,4,2,1,,LT,2,LT,88,LT,8,1504,73
3,1,LT,13295,4,2,2,3,2,1,1,4,3,3,LT,,LT,2,LT,8,1505,50
3,1,LT,13295,5,1,2,2,2,8,5,2,1,3,LT,1,LT,6,LT,8,1506,33
8,8,88,13295,7,2,8,8,5,8,5,1,8,1,88,,88,88,88,8,1507,5
8,8,88,13295,8,1,8,8,5,8,5,1,8,1,88,,88,88,88,8,1508,5
8,8,88,13295,9,2,8,8,5,8,5,1,8,1,88,,88,88,88,8,1509,5
2,3,LT,13297,1,1,2,8,,8,2,2,1,,LT,2,LT,88,LT,8,1510,70
3,3,LT,13297,2,2,2,8,,8,1,2,1,,LT,1,LT,88,LT,8,1511,63
2,1,LT,13298,1,2,2,3,,1,2,2,1,,LT,2,LT,5,LT,8,1512,29
3,1,LT,13298,2,1,2,3,,1,1,2,1,,LT,1,LT,7,LT,8,1513,34
8,8,88,13298,3,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,1514,6
8,8,88,13298,4,1,8,8,2,8,3,1,8,1,88,,88,88,88,8,1515,4
8,8,88,13298,5,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,1516,0
2,3,LT,13299,1,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1517,63
2,3,LT,13303,1,2,2,8,,8,4,3,3,,LT,,LT,88,LT,8,1518,79
3,1,LT,13303,2,1,2,3,,1,1,2,3,1,LT,,LT,2,LT,8,1519,50
3,2,LT,13304,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1520,54
1,3,LT,13305,4,2,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1521,78
2,1,LT,13306,1,2,2,3,,1,1,4,3,,LT,,LT,7,LT,8,1522,61
2,2,LT,13308,1,1,2,8,,8,1,1,2,,LT,2,LT,88,LT,8,1523,42
2,6,LT,13308,2,2,2,8,,8,2,1,2,,LT,1,LT,88,LT,8,1524,32
8,8,88,13308,3,1,8,8,1,8,3,1,8,2,88,,88,88,88,8,1525,8
8,8,88,13308,4,2,8,8,1,8,3,1,8,2,88,,88,88,88,8,1526,5
3,4,LT,13311,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,1527,51
2,2,LT,13311,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1528,37
2,3,LT,13314,1,1,2,8,,8,1,3,3,,LT,,LT,88,LT,8,1529,72
1,1,LT,13318,1,1,2,3,,1,1,2,1,,LT,2,LT,7,LT,8,1530,27
1,6,LT,13318,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,1531,26
8,8,88,13318,3,1,8,8,1,8,3,1,8,2,88,,88,88,88,8,1532,7
8,8,88,13318,4,2,8,8,1,8,3,1,8,2,88,,88,88,88,8,1533,3
